Plant #,Treatment,Germinant #,Germination Day,Height (on germination day) ,Root Length (mm),Root Weight (g),Total Weight (g),AGB Weight (g),notes,extra notes,,,,,,,,,,,,,,,,
17,NC_FL,4A,19,13,110.6,0.0011,0.0088,0.0077,,,,,,,,,,,,,,,,,,
17,NC_FL,4B,34,7,32.66,0.0037,0.0056,0.0019,,,,,,,,,,,,,,,,,,
17,NC_FL,5A,19,10,143.22,0.0018,0.0066,0.0048,,,,,,,,,,,,,,,,,,
17,NC_FL,5B,19,5,54.68,0.0004,0.0022,0.0018,,,,,,,,,,,,,,,,,,
17,NC_FL,6A,19,10,129,0.0015,0.0061,0.0046,,,,,,,,,,,,,,,,,,
17,NC_FL,6B,19,9,104.42,0.0009,0.0036,0.0027,,,,,,,,,,,,,,,,,,
17,NC_FL,7A,24,6,59.21,0.0006,0.0041,0.0035,,,,,,,,,,,,,,,,,,
17,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
17,NC_FL,8A,19,20,135.44,0.0022,0.0092,0.007,,,,,,,,,,,,,,,,,,
17,NC_FL,8B,19,5,68.95,0.0012,0.0063,0.0051,,,,,,,,,,,,,,,,,,
17,NC_FL,9A,20,15,58.65,0.002,0.0077,0.0057,,,,,,,,,,,,,,,,,,
17,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
17,NC_FL,10A,36,7,87.62,0.0014,0.0083,0.0069,,,,,,,,,,,,,,,,,,
17,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,2A,34,6,27.82,0,0.0016,0.0016,no root found,,,,,,,,,,,,,,,,,
18,FL_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,4A,30,7,57.09,0.0007,0.0019,0.0012,,,,,,,,,,,,,,,,,,
18,FL_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,5A,31,5,60.94,0.0009,0.0039,0.003,,,,,,,,,,,,,,,,,,
18,FL_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,6A,33,11,52.26,0.0005,0.0034,0.0029,,,,,,,,,,,,,,,,,,
18,FL_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,8A,20,4,115.11,0.0016,0.0053,0.0037,,,,,,,,,,,,,,,,,,
18,FL_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
18,FL_NC,10A,29,5,79.13,0.0008,0.0043,0.0035,,,,,,,,,,,,,,,,,,
18,FL_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,2A,19,6,85.38,0.0013,0.0067,0.0054,,,,,,,,,,,,,,,,,,
19,FL_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,3A,19,8,88.71,0.0019,0.0072,0.0053,,,,,,,,,,,,,,,,,,
19,FL_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,7A,39,5,27.51,0.0005,0.0018,0.0013,,,,,,,,,,,,,,,,,,
19,FL_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
19,FL_NC,10A,30,6,32.72,0.0004,0.0022,0.0018,,,,,,,,,,,,,,,,,,
19,FL_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,2A,28,3,54.91,0.0008,0.0027,0.0019,,,,,,,,,,,,,,,,,,
20,FL_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,3A,20,4,51.23,0.0006,0.0006,0,root only in pack,,,,,,,,,,,,,,,,,
20,FL_NC,3B,27,5,51.87,0.001,0.0049,0.0039,,,,,,,,,,,,,,,,,,
20,FL_NC,4A,27,4,75.77,0.0008,0.0033,0.0025,,,,,,,,,,,,,,,,,,
20,FL_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,5A,20,4,126.73,0.0017,0.0046,0.0029,,,,,,,,,,,,,,,,,,
20,FL_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,9A,12,6,127.61,0.0028,0.0086,0.0058,,,,,,,,,,,,,,,,,,
20,FL_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
20,FL_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,2A,32,5,41.86,0.001,0.0027,0.0017,,,,,,,,,,,,,,,,,,
21,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,4A,30,2,10.21,-0.0032,0.0028,0.006,,,,,,,,,,,,,,,,,,
21,NC_FL,4B,30,1,14.6,0,0.0013,0.0013,no roots,,,,,,,,,,,,,,,,,
21,NC_FL,5A,19,10,51.18,0.0009,0.0065,0.0056,,,,,,,,,,,,,,,,,,
21,NC_FL,5B,19,8,79.29,0.0011,0.0083,0.0072,,,,,,,,,,,,,,,,,,
21,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,9A,31,6,28.52,0.0005,0.0034,0.0029,,,,,,,,,,,,,,,,,,
21,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
21,NC_FL,10A,19,9,57.11,0.0012,0.0068,0.0056,,,,,,,,,,,,,,,,,,
21,NC_FL,10B,19,3,,0.0012,0.0068,0.0056,,,,,,,,,,,,,,,,,,
22,NC_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,5A,26,4,96.14,0,0.0021,0.0021,no roots,,,,,,,,,,,,,,,,,
22,NC_FL,5B,27,8,79.54,0.0008,0.0036,0.0028,,,,,,,,,,,,,,,,,,
22,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,7A,26,20,36.84,0,0.0029,0.0029,no roots,,,,,,,,,,,,,,,,,
22,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,9A,12,1,74.06,0.0022,0.0095,0.0073,,,,,,,,,,,,,,,,,,
22,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
22,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,2A,,,15.22,0.0003,0.0018,0.0015,AGB broke apart during measuring process. ,,,,,,,,,,,,,,,,,
23,FL_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,3A,36,5,32.34,-0.0018,,0.0018,no roots,,,,,,,,,,,,,,,,,
23,FL_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
23,FL_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,3A,19,3,61.89,0.0018,0.0061,0.0043,,,,,,,,,,,,,,,,,,
24,NC_NC,3B,22,10,55.8,0.0008,0.0034,0.0026,,,,,,,,,,,,,,,,,,
24,NC_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,6A,19,8,64.96,0.0021,0.0072,0.0051,,,,,,,,,,,,,,,,,,
24,NC_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,8A,12,4,50.77,0.0009,0.0087,0.0078,,,,,,,,,,,,,,,,,,
24,NC_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
24,NC_NC,10A,13,1,37.73,0.0013,0.0077,0.0064,,,,,,,,,,,,,,,,,,
24,NC_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,1A,12,6,70.71,0.0011,0.0046,0.0035,,,,,,,,,,,,,,,,,,
25,FL_NC,1B,22,5,32.06,0.0004,0.0025,0.0021,,,,,,,,,,,,,,,,,,
25,FL_NC,2A,28,1,30.25,0.0005,0.0021,0.0016,,,,,,,,,,,,,,,,,,
25,FL_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,3A,13,3,32.7,0.0011,0.0042,0.0031,,,,,,,,,,,,,,,,,,
25,FL_NC,3B,19,4,51,0.0013,0.0074,0.0061,,,,,,,,,,,,,,,,,,
25,FL_NC,4A,22,9,26.45,0.0004,0.0035,0.0031,,,,,,,,,,,,,,,,,,
25,FL_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,8A,19,5,62.32,0.0012,0.0069,0.0057,,,,,,,,,,,,,,,,,,
25,FL_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,9A,20,6,,,,,germ not found,,,,,,,,,,,,,,,,,
25,FL_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
25,FL_NC,10A,25,2,69.01,0.001,0.0055,0.0045,,,,,,,,,,,,,,,,,,
25,FL_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,4A,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,5A,22,5,16.91,0.0003,0.0026,0.0023,,,,,,,,,,,,,,,,,,
26,FL_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,7A,13,3,123.13,0.0017,0.0067,0.005,,,,,,,,,,,,,,,,,,
26,FL_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,8A,13,4,50.17,0.0011,0.0048,0.0037,,,,,,,,,,,,,,,,,,
26,FL_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,9A,34,4,22.08,0.0005,0.0026,0.0021,,,,,,,,,,,,,,,,,,
26,FL_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
26,FL_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,3A,32,3,8.66,0,0.0009,0.0009,no roots,,,,,,,,,,,,,,,,,
27,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,4A,30,1,33.43,0.0007,0.002,0.0013,,,,,,,,,,,,,,,,,,
27,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,7A,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,9A,24,3,42.25,0.0011,0.0047,0.0036,,,,,,,,,,,,,,,,,,
27,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
27,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,1A,20,2,40.76,0.0004,0.0048,0.0044,,,,,,,,,,,,,,,,,,
28,FL_FL,1B,22,8,55.29,0.0004,0.003,0.0026,,,,,,,,,,,,,,,,,,
28,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,6A,27,4,62.21,0.0002,0.0042,0.004,,,,,,,,,,,,,,,,,,
28,FL_FL,6B,27,8,77.1,0.0008,0.0038,0.003,,,,,,,,,,,,,,,,,,
28,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
28,FL_FL,8A,22,11,55.26,0.0011,0.0065,0.0054,,,,,,,,,,,,,,,,,,
28,FL_FL,8B,22,3,39.41,0.0006,0.005,0.0044,,,,,,,,,,,,,,,,,,
28,FL_FL,9A,30,4,,0,0.0042,0.0042,no roots,,,,,,,,,,,,,,,,,
28,FL_FL,9B,30,2,,,,,germ not found,,,,,,,,,,,,,,,,,
28,FL_FL,10A,19,20,46.66,0.0754,0.082,0.0066,,,,,,,,,,,,,,,,,,
28,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
29,CON_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,1A,12,4,57.07,0.0014,0.0058,0.0044,,,,,,,,,,,,,,,,,,
30,FL_FL,1B,19,11,84.02,0.0008,0.0048,0.004,,,,,,,,,,,,,,,,,,
30,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,3A,19,19,169.8,0.0031,0.008,0.0049,,,,,,,,,,,,,,,,,,
30,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,4A,19,12,75.85,0.0015,0.005,0.0035,,,,,,,,,,,,,,,,,,
30,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
30,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,4A,14,3,10.74,0,0.0013,0.0013,no roots found,,,,,,,,,,,,,,,,,
31,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,5A,13,5,32.65,1E-04,0.0036,0.0035,,,,,,,,,,,,,,,,,,
31,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
31,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,1A,19,14,30.89,0.0003,0.0053,0.005,,,,,,,,,,,,,,,,,,
32,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,3A,20,3,72.84,0.0015,0.0075,0.006,,,,,,,,,,,,,,,,,,
32,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,4A,12,10,87.01,0.0008,0.0048,0.004,,,,,,,,,,,,,,,,,,
32,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,5A,24,2,,,,,germ not found,,,,,,,,,,,,,,,,,
32,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,10A,,,,,,,,,,,,,,,,,,,,,,,,
32,NC_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,2A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,2B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,4A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,6A,13,4,53.48,0.0015,0.0102,0.0087,,,,,,,,,,,,,,,,,,
33,FL_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,7A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,9A,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,9B,,,,,,,,,,,,,,,,,,,,,,,,
33,FL_FL,10A,20,4,69.53,0.0007,0.0046,0.0039,,,,,,,,,,,,,,,,,,
33,FL_FL,10B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,2A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,4A,9.5,11,91.7,0.0007,0.0028,0.0021,,,,,,,,,,,,,,,,,,
34,CON_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,7A,9.5,11,159.91,0.0021,0.0071,0.005,,,,,,,,,,,,,,,,,,
34,CON_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,9B,,,,,,,,,,,,,,,,,,,,,,,,
34,CON_NC,10A,25,4,34.78,0.0003,0.0018,0.0015,,,,,,,,,,,,,,,,,,
34,CON_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,1A,,,,,,,,,,,,,,,,,,,,,,,,
35,CON_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
